D,w,t,allow,MS
1.0,2.0,20.2,156.908,0.05
1.0,2.0,20.3,156.135,0.06
1.0,3.0,15.2,156.17,0.06
1.0,4.0,15.6,156.305,0.06
1.0,5.0,17.9,157.134,0.05
1.0,5.0,18.0,156.261,0.06
2.0,3.0,16.9,156.566,0.05
2.0,4.0,10.1,156.908,0.05
2.0,6.0,7.6,156.17,0.06
2.0,8.0,7.8,156.305,0.06
2.0,9.0,8.3,156.854,0.05
2.0,10.0,9.0,156.261,0.06
3.0,4.0,16.0,157.098,0.05
3.0,4.0,16.1,156.122,0.06
3.0,7.0,5.8,155.876,0.06
3.0,8.0,5.3,156.262,0.06
3.0,11.0,5.0,156.418,0.05
3.0,12.0,5.2,156.305,0.06
3.0,13.0,5.4,157.067,0.05
3.0,14.0,5.7,156.015,0.06
3.0,15.0,6.0,156.261,0.06
4.0,5.0,15.7,156.453,0.05
4.0,11.0,3.9,156.947,0.05
4.0,12.0,3.8,156.17,0.06
4.0,15.0,3.8,155.797,0.06
4.0,16.0,3.9,156.305,0.06
4.0,19.0,4.3,157.085,0.05
4.0,20.0,4.5,156.261,0.06
5.0,6.0,15.5,156.458,0.05
5.0,7.0,8.2,156.327,0.06
5.0,9.0,4.7,156.303,0.06
5.0,12.0,3.4,156.089,0.06
5.0,14.0,3.1,156.752,0.05
5.0,16.0,3.0,156.181,0.06
5.0,18.0,3.0,155.72,0.06
5.0,21.0,3.2,156.26,0.06
5.0,25.0,3.6,156.261,0.06
6.0,7.0,15.4,156.214,0.06
6.0,8.0,8.0,157.098,0.05
6.0,11.0,3.8,156.582,0.05
6.0,13.0,3.1,155.913,0.06
6.0,14.0,2.9,155.876,0.06
6.0,19.0,2.5,156.428,0.05
6.0,22.0,2.5,156.418,0.05
6.0,24.0,2.6,156.305,0.06
6.0,26.0,2.7,157.067,0.05
6.0,30.0,3.0,156.261,0.06
7.0,8.0,15.3,156.377,0.06
7.0,9.0,7.9,156.967,0.05
7.0,10.0,5.5,156.753,0.05
7.0,13.0,3.2,156.336,0.06
7.0,14.0,2.9,156.135,0.06
7.0,17.0,2.4,156.589,0.05
7.0,20.0,2.2,156.543,0.05
7.0,27.0,2.2,155.671,0.06
7.0,30.0,2.3,157.041,0.05
7.0,32.0,2.4,156.585,0.05
7.0,34.0,2.5,157.01,0.05
8.0,9.0,15.2,156.786,0.05
8.0,9.0,15.3,155.761,0.06
8.0,11.0,5.4,157.068,0.05
8.0,21.0,2.0,156.576,0.05
8.0,24.0,1.9,156.17,0.06
8.0,30.0,1.9,155.797,0.06
8.0,39.0,2.2,156.565,0.05
9.0,10.0,15.2,156.321,0.06
9.0,11.0,7.8,156.325,0.06
9.0,23.0,1.8,157.033,0.05
9.0,26.0,1.7,156.95,0.05
9.0,39.0,1.8,157.067,0.05
9.0,42.0,1.9,156.015,0.06
9.0,45.0,2.0,156.261,0.06
10.0,11.0,15.1,156.993,0.05
10.0,11.0,15.2,155.96,0.06
10.0,13.0,5.3,156.598,0.05
10.0,14.0,4.1,156.327,0.06
10.0,17.0,2.6,155.693,0.06
10.0,24.0,1.7,156.089,0.06
10.0,31.0,1.5,157.035,0.05
10.0,32.0,1.5,156.181,0.06
10.0,36.0,1.5,155.72,0.06
10.0,37.0,1.5,156.995,0.05
10.0,42.0,1.6,156.26,0.06
10.0,50.0,1.8,156.261,0.06
11.0,12.0,15.1,156.703,0.05
11.0,12.0,15.2,155.672,0.06
11.0,13.0,7.7,156.777,0.05
11.0,20.0,2.1,156.526,0.05
11.0,43.0,1.4,156.621,0.05
11.0,49.0,1.5,156.797,0.05
12.0,13.0,15.1,156.468,0.05
12.0,14.0,7.7,156.214,0.06
12.0,16.0,4.0,157.098,0.05
12.0,17.0,3.3,156.176,0.06
12.0,22.0,1.9,156.582,0.05
12.0,33.0,1.3,156.947,0.05
12.0,48.0,1.3,156.305,0.06
12.0,55.0,1.4,156.856,0.05
12.0,60.0,1.5,156.261,0.06
13.0,14.0,15.1,156.272,0.06
13.0,15.0,7.7,155.75,0.06
13.0,16.0,5.2,156.668,0.05
13.0,17.0,4.0,155.955,0.06
